Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
C15H11.3b	N/A	N/A	N/A	N/A	false
C15H11.3a	N/A	N/A	N/A	N/A	false
C54G4.1b	N/A	N/A	N/A	N/A	false
C54G4.1a	0.7662325686771276	0.4258584833813037	0.9996325592468102	0.004199863661628975	false
F20G4.3	1.0	1.0	1.0	0.0	false
C54G10.2a	N/A	N/A	N/A	N/A	false
F20G4.1	N/A	N/A	N/A	N/A	false
Y92H12BR.3b	0.7129610888995738	0.44644009161437825	0.9996325592468102	0.04750485552521771	false
Y92H12BR.3a	0.7483113447033984	0.24556440077564023	0.9996325592468102	0.013695595835431014	false
M01A10.3	0.8534041288544353	N/A	N/A	0.07618759903296035	false
F49E8.5	0.8885060576478464	0.9161436258646333	0.9996325592468102	0.05788577872310885	false
F49E8.4	0.8277115984495382	0.3029562593694378	0.9996325592468102	0.0036278153022554415	false
T15H9.7b	N/A	N/A	N/A	N/A	false
C33G3.4	N/A	N/A	N/A	N/A	false
T15H9.7a	N/A	N/A	N/A	N/A	false
K02D7.4	0.8700465014472165	0.9675699510212902	0.9996325592468102	0.04752377929752215	false
T17H7.1	1.0	N/A	N/A	N/A	false
K02D7.1	0.7871598228897932	0.7374593995539392	0.9996325592468102	0.02984389394577459	false
ZK550.6	0.86186657117264	0.9626391020807692	0.9996325592468102	0.036207941643432995	false
ZK550.3	0.6355746419097122	0.014812964515247141	0.10973984724704909	0.2718369228816557	true
Y69E1A.5	0.7232871192659935	N/A	N/A	0.032835819859146624	false
W02F12.5	0.9139848603209164	0.07406576890386703	0.7481735079751948	0.025703110254317842	false
Y69E1A.2	0.7575564797844647	0.7945657732329101	0.9996325592468102	0.07871036364839647	false
W02F12.3	1.0	N/A	N/A	N/A	false
T28C6.6	N/A	N/A	N/A	N/A	false
T28C6.4	N/A	N/A	N/A	N/A	false
F45E1.7b	N/A	N/A	N/A	N/A	false
F45E1.7a	N/A	N/A	N/A	N/A	false
Y53F4A.2	N/A	N/A	N/A	N/A	false
C44B12.5	0.9041263737011601	0.8756109458640865	0.9996325592468102	0.017612444093472537	false
C44B12.2	0.8270377218283772	0.3178306559743611	0.9996325592468102	0.008639646426330945	false
C44B12.1	0.9119308647124275	0.6681511844564425	0.9996325592468102	0.0066296637739668915	false
F08A8.4	N/A	N/A	N/A	N/A	false
Y56A3A.12b	0.6880880114969937	0.3802668015299362	0.9996325592468102	0.031005174460002873	false
F08A8.3	N/A	N/A	N/A	N/A	false
Y56A3A.12a	0.6880880114969937	0.3802668015299362	0.9996325592468102	0.031005174460002873	false
T03F1.3	0.9379401870726604	0.9675399944090644	0.9996325592468102	0.01871416057407421	false
T03F1.1	0.7802682395776134	0.36298689084772995	0.9996325592468102	0.012509912036242582	false
T23H2.5	0.5952205574637943	N/A	N/A	0.15024766772477555	false
T23H2.1	0.7296105040943743	0.7544875879229921	0.9996325592468102	0.07406536932681984	false
F44B9.8	N/A	N/A	N/A	N/A	false
VW02B12L.3	0.6860275712155856	N/A	N/A	0.10993324950415578	false
VW02B12L.1	N/A	N/A	N/A	N/A	false
W03F8.5	0.6548603944536476	0.9864359951541244	0.9996325592468102	0.25696469739177014	true
W03F8.4	0.7457865572059202	7.374493883325872E-4	0.0	0.15982679494360816	false
W03F8.1	0.9179164140958361	0.7417450845232918	0.9996325592468102	0.027715265050257072	false
C42D8.3	N/A	N/A	N/A	N/A	false
K06C4.5	0.8508937411511585	0.0763263482960132	0.7481735079751948	0.0383352219895356	false
K06C4.4	0.9133015827659109	0.9907326781249545	0.9996325592468102	0.038224113082302065	false
K06C4.3	0.8514676835790506	0.04467106751128161	0.45845265132813273	0.025898297967414625	false
K06C4.2	0.8971796899215847	0.9906987088927618	0.9996325592468102	0.04435230889886114	false
D1054.8	N/A	N/A	N/A	N/A	false
